Name,SMILES
ABP-700,COC(=O)C1(CC1)OC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
Abrocitinib,CCCS(=O)(=O)N[C@H]1C[C@H](C1)N(C)C1=C2C=CNC2=NC=N1
ABT-072,COC1=C(\C=C\C2=CC=C(NS(C)(=O)=O)C=C2)C=C(C=C1C(C)(C)C)N1C=CC(=O)NC1=O
ABT-288,CN1C[C@H]2CCN([C@H]2C1)C1=CC=C(C=C1)C1=CC=C(C=C1)N1N=CC=CC1=O
ABT-341,[H][C@]1(N)CC(=CC[C@]1([H])C1=CC(F)=C(F)C=C1F)C(=O)N1CCN2C(C1)=NN=C2C(F)(F)F
ABT-384,CC(C)(N1CCN(CC1)C1=NC=C(C=C1)C(F)(F)F)C(=O)N[C@H]1C2CC3CC1C[C@@](C3)(C2)C(N)=O
ABT-510,CCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)CN(C)C(C)=O)C(C)C)[C@@H](C)CC)[C@@H](C)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC
ABT-639,FC1=CC=CC=C1NS(=O)(=O)C1=C(F)C=C(Cl)C(=C1)C(=O)N1CCN2CCC[C@@H]2C1
ABT-751,COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1
ABX-1431,FC(F)(F)C(OC(=O)N1CCN(CC2=CC=C(C=C2N2CCCC2)C(F)(F)F)CC1)C(F)(F)F
ABX-196,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1O[C@H](CNC(C)=O)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
ABX-464,FC(F)(F)OC1=CC=C(NC2=CC=C3C=CC=C(Cl)C3=N2)C=C1
AC-(D)PHE-PRO-BOROHOMOLYS-OH,[H][C@@](CCCCCN)(NC(=O)[C@]1([H])CCCN1C(=O)[C@@]([H])(CC1=CC=CC=C1)NC(C)=O)B(O)O
AC-(D)PHE-PRO-BOROHOMOORNITHINE-OH,[H][C@@](CCCN)(NC(=O)[C@]1([H])CCCN1C(=O)[C@@]([H])(CC1=CC=CC=C1)NC(C)=O)B(O)O
AC-(D)Phe-pro-borolys-OH,CC(=O)N[C@H](CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)B(O)O
AC-262536,[H][C@]12CC[C@]([H])(C[C@H](O)C1)N2C1=CC=C(C#N)C2=CC=CC=C12
AC-430,CC1=CC(NC2=NC(=NC3=CC=CC=C23)C(O)C2=CC=C(F)C=C2)=NN1
Acadesine,[H][C@]1(CO)O[C@]([H])([C@H](O)[C@@H]1O)N1C=NC(C(N)=O)=C1N
Acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1
Acalisib,C[C@H](NC1=NC=NC2=C1NC=N2)C1=NC2=C(C=C(F)C=C2)C(=O)N1C1=CC=CC=C1
Acamprosate,CC(=O)NCCCS(O)(=O)=O
Acarbose,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
Acarbose Derived Hexasaccharide,[H][C@]1(C)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@]([H])(OC[C@@]3([H])O[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N[C@@]1([H])C=C(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O
Acebilustat,OC(=O)C1=CC=C(CN2C[C@@H]3C[C@H]2CN3CC2=CC=C(OC3=CC=C(C=C3)C3=NC=CO3)C=C2)C=C1
Acebutolol,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O
Aceclidine,CC(=O)OC1CN2CCC1CC2
Aceclofenac,OC(=O)COC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Acediasulfone,[H]N([H])C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)N([H])CC(O)=O
Acedoben,CC(=O)NC1=CC=C(C=C1)C(O)=O
Acefylline,CN1C2=C(N(CC(O)=O)C=N2)C(=O)N(C)C1=O
Aceglutamide,CC(=O)N[C@@H](CCC(N)=O)C(O)=O
Acemetacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O
Aceneuramic acid,CC(=O)N[C@H]([C@@H](O)CC(=O)C(O)=O)[C@@H](O)[C@H](O)[C@H](O)CO
Acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O
Acepromazine,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O
Aceprometazine,CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C
Acetamide,CC(N)=O
Acetaminophen,CC(=O)NC1=CC=C(O)C=C1
Acetarsol,CC(=O)NC1=CC(=CC=C1O)[As](O)(O)=O
Acetate,CC([O-])=O
Acetazolamide,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
Acetic acid,CC(O)=O
Acetic acid C-11,C[11C](O)=O
Acetic Acid Salicyloyl-Amino-Ester,CC(=O)ONC(=O)C1=C(O)C=CC=C1
Acetoacetic acid,CC(=O)CC(O)=O
Acetoacetyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
Acetohydroxamic acid,CC(=O)NO
Acetone Cyanohydrin,CC(C)(O)C#N
Acetophenazine,CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1
Acetophenone,CC(=O)C1=CC=CC=C1
Acetorphine,[H][C@@]12OC3=C(OC(C)=O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@@]11C[C@]([H])([C@](C)(O)CCC)[C@]2(OC)C=C1
Acetoxolone,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4C[C@](C)(CC[C@]4(C)CC[C@@]32C)C(O)=O)C1(C)C
Acetrizoic acid,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C=C1I
Acetyl chloride,CC(Cl)=O
Acetyl Dithranol,OC(=O)CC1=C(O)C2=C(CC3=C(C(O)=CC=C3)C2=O)C=C1
Acetyl hexapeptide-3,CSCC[C@H](NC(=O)[C@H](CCC(O)=O)NC(=C)[C@H](CCC(O)=O)NC(C)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(N)=O
Acetyl simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@H](CC(=O)O3)OC(C)=O)[C@@H]12
Acetyl sulfisoxazole,CC(=O)N(C1=C(C)C(C)=NO1)S(=O)(=O)C1=CC=C(N)C=C1
Acetylamino-Acetic Acid,CC(=O)NCC(O)=O
Acetylcarnitine,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
Acetylcholine,CC(=O)OCC[N+](C)(C)C
Acetylcysteine,CC(=O)N[C@@H](CS)C(O)=O
Acetylcysteine amide,[H]N([H])C(=O)[C@H](CS)N([H])C(C)=O
Acetylcysteine magnesium,[Mg++].[H]N([C@@H](CS)C([O-])=O)C(C)=O.[H]N([C@@H](CS)C([O-])=O)C(C)=O
Acetylcysteine zinc,[Zn++].CC(=O)N[C@@H](CS)C([O-])=O.CC(=O)N[C@@H](CS)C([O-])=O
Acetyldigitoxin,[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](OC(C)=O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)C1=CC(=O)OC1
Acetyldigoxin,C[C@H]1O[C@H](C[C@H](OC(C)=O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C
Acetyldihydrocodeine,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CC[C@@H]2OC(C)=O
Acetyldinaline,NC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1N
Acetylene,C#C
Acetyleneurea,[H][C@@]12NC(=O)N[C@]1([H])NC(=O)N2
Acetylglycinamide chloral hydrate,OC(O)C(Cl)(Cl)Cl.CC(=O)NCC(O)=O
Acetylleucine,CC(C)CC(NC(C)=O)C(O)=O
acetylleucyl-leucyl-norleucinal,[H]C(=O)[C@H](CCCC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O
Acetylphosphate,CC(=O)OP(O)(O)=O
Acetylsalicylic acid,CC(=O)OC1=CC=CC=C1C(O)=O
Acid yellow 54 free acid,CC1=NN(C(O)=C1\N=N\C1=CC(=CC=C1C(O)=O)S(O)(=O)=O)C1=C(C)C=C(C=C1)S(O)(=O)=O
Acifluorfen,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O
Acipimox,CC1=[N+]([O-])C=C(N=C1)C(O)=O
Acitretin,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1
Aclarubicin,CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)C2=C(O)C3=C(C=C2[C@H]1C(=O)OC)C(=O)C1=C(C(O)=CC=C1)C3=O
Aclerastide,[H]N([C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(O)=O)C(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CCCC)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(O)=O
Aclidinium,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1
Aclimostat,[H][C@@]1([C@H](OC)[C@@H](CC[C@]11CO1)OC(=O)N1CC(CCN2CCOCC2)C1)[C@@]1(C)O[C@@H]1CC=C(C)C
Acolbifene,CC1=C([C@@H](OC2=C1C=CC(O)=C2)C1=CC=C(OCCN2CCCCC2)C=C1)C1=CC=C(O)C=C1
Aconitate Ion,[O-]C(=O)C\C(=C\C([O-])=O)C([O-])=O
Acotiamide,COC1=C(OC)C=C(C(=O)NC2=NC(=CS2)C(=O)NCCN(C(C)C)C(C)C)C(O)=C1
Acridine Carboxamide,CN(C)CCNC(=O)C1=C2N=C3C=CC=CC3=CC2=CC=C1
Acrivastine,[H]\C(CN1CCCC1)=C(\C1=CC=C(C)C=C1)C1=CC=CC(=N1)C(\[H])=C(/[H])C(O)=O
Acrizanib,CNCC1=CC(OC2=CC=C3N(C=CC3=C2)C(=O)NC2=NN(C)C(=C2)C(F)(F)F)=NC=N1
Acrylic Acid,OC(=O)C=C
ACT-451840,CC(=O)N1CCN(CC1)C1=CC=C(CN([C@@H](CC2=CC=CC=C2)C(=O)N2CCN(CC3=CC=C(C=C3)C#N)CC2)C(=O)\C=C\C2=CC=C(C=C2)C(C)(C)C)C=C1
ACT-709478,FC(F)(F)C1(CC1)C1=CC=C(CC(=O)NC2=NN(CC3=NC=C(C=C3)C#N)C=C2)C=C1
Acteoside,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCC3=CC(O)=C(O)C=C3)O[C@H](CO)[C@H]2OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O
Actinium,[Ac]
Activated charcoal,[C]
Acumapimod,CC1=CC=C(C=C1N1N=CC(C(=O)C2=CC=CC(=C2)C#N)=C1N)C(=O)NC1CC1
ACV tripeptide,CC(C)[C@@H](NC(=O)[C@H](CS)NC(=O)CCC[C@H](N)C(O)=O)C(O)=O
Acyclovir,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
Acylated ceftazidime,[H]N([H])C1=NC(=CS1)C(=N\OC(C)(C)C(O)=O)\C(=O)N([H])[C@H](C=O)[C@@]1([H])SCC(=C)C(=N1)C(O)=O
Acyline,CC(C)C[C@H](NC(=O)[C@@H](CC1=CC=C(NC(C)=O)C=C1)NC(=O)[C@H](CC1=CC=C(NC(C)=O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CC=CN=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
Adafosbuvir,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@@]1(F)O[C@@H](N2C=CC(=O)NC2=O)[C@](C)(O)[C@@H]1O)OC1=CC=CC=C1
Adamantane,C1C2CC3CC1CC(C2)C3
Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Butyl-Amide,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCNC(=O)C12CC3CC(CC(C3)C1)C2
Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Octyl-Amide,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCCCCCNC(=O)C12CC3CC(CC(C3)C1)C2
Adamantanone,O=C1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
Adapalene,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
Adefovir,NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1
Adefovir dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C
Adelmidrol,OCCNC(=O)CCCCCCCC(=O)NCCO
Ademetionine,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
Adenine,NC1=C2NC=NC2=NC=N1
Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
"Adenosine 3',5'-diphosphate",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
Adenosine 5'-[gamma-thio]triphosphate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=S)[C@@H](O)[C@H]1O
Adenosine 5'-methylenediphosphate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)CP(O)(O)=O)[C@@H](O)[C@H]1O
Adenosine 5'-phosphosulfate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O
Adenosine Diphosphate 5-(Beta-Ethyl)-4-Methyl-Thiazole-2-Carboxylic Acid,[H][C@]1(COP([O-])(=O)OP([O-])(=O)OCCC2=C(C)N=C(S2)C([O-])=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Adenosine monotungstate,[H]N([H])C1=NC=NC2=C1N=CN2[C@]1([H])O[C@@]([H])(CO[W](O)(O)=O)[C@]([H])(O)[C@@]1([H])O
Adenosine phosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
Adenosine Phosphonoacetic Acid,[H][C@]1(COC(=O)CP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Adenosine-2'-5'-Diphosphate,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(OP(O)(O)=O)[C@]1([H])O
Adenosine-5-Diphosphoribose,NC1=C2N=CN([C@@H]3O[C@H](CO[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]4O[C@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1
Adenosine-5'-(Dithio)Phosphate,[H][C@]1(COP(O)(S)=S)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)C([H])(O)[C@]1([H])O
"Adenosine-5'-[Beta, Gamma-Methylene]Tetraphosphate",[H][C@]1(COP(O)(=O)OP(O)(=O)CP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",[H][C@]1(COP(O)(=O)OP(O)(=O)CP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
"Adenosine-5'-diphosphate-2',3'-vanadate",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H]2O[V](=O)(=O)O[C@H]12
Adenosine-5'-ditungstate,NC1=C2N=CN(C3OC(CO[W](O)(=O)O[W](O)(O)=O)C(O)C3O)C2=NC=N1
Adenosine-5'-Monophosphate Glucopyranosyl-Monophosphate Ester,NC1=C2N=CN([C@@H]3O[C@H](CO[P@](O)(=O)O[P@](O)(=O)O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1
Adenosine-5'-Pentaphosphate,NC1=C2N=CN([C@@H]3O[C@H](CO[P@@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)O[P@@](O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
Adenosine-5'-Propylphosphate,[H][C@]1(COP(O)(=O)OCCC)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Adenosine-5'-Rp-Alpha-Thio-Triphosphate,[H][C@]1(CO[P@@](O)(=S)OP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Adenylate-3'-phosphate-[[2'-deoxy-uridine-5'-phosphate]-3'-phosphate],[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]4C[C@@H](O[C@@H]4COP(O)(O)=O)N4C=CC(=O)N([H])C4=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1
Adenylosuccinic acid,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C(N[C@@H](CC(O)=O)C(O)=O)N=CN=C12
Adenylyl-(3'-5')-uridine 3'-monophosphate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2OP(O)(O)=O)N2C=CC(=O)NC2=O)[C@H]1O
Adinazolam,CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
Adipiplon,CCCC1=C(CN2C=CN=C2C2=C(F)C=CC=N2)N=CN2N=C(C)N=C12
Ado-P-Ch2-P-Ps-Ado,[H][C@]1(COP(O)(=O)CP(O)(=O)O[P@](O)(=S)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
Adomeglivant,CC1=CC(O[C@@H](CCC(F)(F)F)C2=CC=C(C=C2)C(=O)NCCC(O)=O)=CC(C)=C1C1=CC=C(C=C1)C(C)(C)C
ADP-597,COC1=C(NC2=C(C)N=C(C=C2)S(C)(=O)=O)N=CN=C1OC1CCN(CC1)C(=O)OC(C)C
Adrabetadex,CC(O)COC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](COCC(C)O)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](COCC(C)O)O[C@H](O[C@H]1C[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](OCC(C)O)[C@H]3O
Adrenalone,CNCC(=O)C1=CC(O)=C(O)C=C1
Adriforant,CN[C@@H]1CCN(C1)C1=CC(NCC2CC2)=NC(N)=N1
AEE-788,CCN1CCN(CC2=CC=C(C=C2)C2=CC3=C(N2)N=CN=C3N[C@H](C)C2=CC=CC=C2)CC1
Aeruginosin 98-B,[H]N([H])C(=NCCCCN([H])C(=O)[C@@H]1C[C@]2([H])CC[C@H](C[C@]2([H])N1C(=O)[C@H](N([H])C(=O)[C@H](O)CC1=CC=C(O)C=C1)[C@H](C)CC)OS(O)(=O)=O)N([H])[H]
Aetiocholanolone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@]([H])(O)CC[C@]12C
Afabicin,CN(CC1=C(C)C2=CC=CC=C2O1)C(=O)\C=C\C1=CN=C2N(COP(O)(O)=O)C(=O)CCC2=C1
Afamelanotide,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O
Afatinib,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1
Afegostat,OC[C@H]1CNC[C@@H](O)[C@@H]1O
Afimoxifene,CC\C(=C(/C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
AFN-1252,CN(CC1=C(C)C2=CC=CC=C2O1)C(=O)\C=C\C1=CC2=C(NC(=O)CC2)N=C1
Afoxolaner,FC(F)(F)CNC(=O)CNC(=O)C1=C2C=CC=CC2=C(C=C1)C1=NOC(C1)(C1=CC(=CC(Cl)=C1)C(F)(F)F)C(F)(F)F
Afuresertib,CN1N=CC(Cl)=C1C1=C(Cl)SC(=C1)C(=O)N[C@H](CN)CC1=CC=CC(F)=C1
AG-24322,CCNCC1=CN=CC(=C1C)C1=CC=C2NN=C(C3=NC4=C(F)C=C(F)C=C4N3)C2=C1
Aganepag isopropyl,CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](CCCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O
Agerafenib,COC1=C(OC)C=C2C(OC3=CC=CC(NC(=O)NC4=NOC(=C4)C(C)(C)C(F)(F)F)=C3)=NC=NC2=C1
AGG-523,CC(C)(CC1=CC=C(F)C=C1)NC(=O)[C@H](CCC(O)=O)NC(=O)C1=CC=C(C=C1)C1=CC=CC=C1
Agmatine,NCCCCNC(N)=N
AGN-201904,COC1=CC2=C(C=C1)N(C(=N2)S(=O)CC1=NC=C(C)C(OC)=C1C)S(=O)(=O)C1=CC=C(OCC(O)=O)C=C1
Agomelatine,COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1
