name, overall_status, why_stopped, nct_id
gsk1014802 high dose,Terminated,"During treatment session 3, a subject had a pattern of AEs of severe intensity, suggestive of brainstem toxicity/encephalopathy during lidocaine/saline infusion",NCT00964288
gsk1014802 low dose,Terminated,"During treatment session 3, a subject had a pattern of AEs of severe intensity, suggestive of brainstem toxicity/encephalopathy during lidocaine/saline infusion",NCT00964288
gsk2190915 100mg,Withdrawn,"Study was terminated due to toxicology findings after screening started but before first subject first dose.",NCT01721135
gsk2190915 200mg,Withdrawn,"Study was terminated due to toxicology findings after screening started but before first subject first dose.",NCT01721135
gsk2190915 placebo,Withdrawn,"Study was terminated due to toxicology findings after screening started but before first subject first dose.",NCT01721135
gsk2983559,Terminated,Terminated due to non clinical toxicology findings and reduced safety margins.,NCT03358407
gsk3186899,Suspended,"This study is on hold due to toxicity findings in a pre-clinical asset with the same mode of action as GSK'899. We are assessing the impact of these findings.",NCT03874234
gsk932121; rosiglitazone; rosuvastatin,Terminated,safety issues (toxicity),NCT00811356
gw873140,Terminated,The study was terminated due to hepatoxicity of compound,NCT00123890
gw873140,Terminated,The study was terminated due to hepatoxicity of compound,NCT00197197
htl0018318,Withdrawn,Pending investigation of an unexpected animal toxicology finding.,NCT03592862
hydrocortisone,Terminated,The study terminated early due to concerns about drug toxicity.,NCT00953576
idn-6556,Terminated,Due to concern for high systemic drug levels that could exceed levels in toxicology studies.,NCT01912404
ifosfamide,Terminated,lack of activity and G3-4 toxicity at interim analysis,NCT00967291
ifosfamide,Withdrawn,toxicity,NCT04044378
il-15,Terminated,Closed this protocol due to autoimmune toxicity.,NCT01369888
imatinib,Terminated,unexpected level of toxicity,NCT00402662
imatinib mesylate,Terminated,Toxicity,NCT00323362
imiquimod,Terminated,Treatment ineffective; Extreme toxicity,NCT01400672
infliximab,Terminated,Higher toxicity rate than observed in studies in Rheumatoid arthritis,NCT00823641
infliximab,Withdrawn,"Steven Johnson's Syndrome (SJS) and Toxic Epidermal Necrolysis Syndrome (TENS) are rare (~3 in 1 million). No eligible subjects have been identified.",NCT01256489
ipilimumab,Terminated,Enrollment was stopped after the dose-limiting toxicity (DLT) evaluation phase of Cohort 2.,NCT03026166
ipilimumab,Terminated,"New compounds available in the indication (nivolumab/pembrolizumab), toxicity of ipilimumab",NCT01557114
ipilimumab 5 mg/ml injection [yervoy],Terminated,due to toxicity of cyclophosphamide,NCT01988077
ipilimumab (bms-734016),Terminated,More than 2 of 6 patients treated experienced dose limiting toxicities.,NCT01400451
iressa (gefitinib),Terminated,"Toxicity in an independent study IMEX. The trial was subsequently terminated (54 pts instead of 140) despite safety analyses showing no excess of toxicity",NCT00169221
irinotecan,Terminated,Terminated due to poor enrollment and grade 3 toxicities noted during an interim analysis.,NCT00642746
irinotecan,Terminated,Toxicity,NCT00671801
kava,Terminated,European reports of liver toxicity from kava meant that the study had to stop,NCT00083980
ketoconazole,Terminated,The study terminated early due to concerns about drug toxicity.,NCT00953576
kml-001,Terminated,Toxicity was not felt to be acceptable for further development.,NCT01110226
kw-2871,Terminated,Occurrence of 2 dose-limiting toxicities at the initial dose level (60 mg/m2) in Part I.,NCT00199342
lapatinib,Terminated,"Due to unacceptable non-dose limiting toxicities, excessive treatment delays and limited clinical responses.",NCT00317434
lapatinib,Terminated,The study terminated early due to concerns about drug toxicity.,NCT00953576
"l-asparaginase, methotrexate, idarubicin, etoposide, cyclophosphamide, cytarabine, mercaptopurine",Terminated,Toxicity,NCT00187005
lbh589,Terminated,The toxicity seemed to outweigh the benefit.,NCT00978432
"lbh589, gemcitabine",Terminated,Study terminated due to LBH589 toxicity.,NCT00550199
lenalidomide,Terminated,"Due to study design (and toxicity), this trial closed to accrual prior to opening the phase II portion.",NCT00687674
lenalidomide,Terminated,"Extreme toxicity in Phase I, study did not proceed to Phase II",NCT01045928
lenalidomide,Terminated,"Study was discontinued due to FDA recommendations of the potential toxicities of the combination of drugs.",NCT03333746
lenalidomide,Terminated,Toxicity,NCT00671801
lenalidomide,Terminated,Unexpected toxicity (2 early deaths),NCT01537861
"lenalidomide, ibrutinib, rituximab",Terminated,Recruitment difficulties and toxicity,NCT02200848
letrozole,Terminated,"PI closed study early, all patients experienced severe toxicities and progressed",NCT01205685
letrozole,Terminated,Treatment toxicity,NCT02585388
letrozole,Terminated,unacceptable toxicity,NCT00263198
leucovorin,Terminated,Terminated due to poor enrollment and grade 3 toxicities noted during an interim analysis.,NCT00642746
leucovorin calcium,Terminated,Toxicity and lack of efficacy,NCT00541112
leucovorin calcium,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
lidocaine,Terminated,"During treatment session 3, a subject had a pattern of AEs of severe intensity, suggestive of brainstem toxicity/encephalopathy during lidocaine/saline infusion",NCT00964288
luteinizing hormone releasing hormone (lhrh) agonist,Terminated,Higher then expected Gr3 GU/GI toxicity,NCT01439542
ly3499446,Terminated,The study was terminated due to an unexpected toxicity finding.,NCT04165031
melphalan,Terminated,Enrollment held for toxicity evaluation; then closed due to competing trial,NCT02489500
melphalan,Terminated,Toxicity. Only enrolled patients in phase I portion of trial.,NCT02750254
mercaptopurine,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
methotrexate,Terminated,Toxicity,NCT01483690
methotrexate,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
mfolfox6 regimen,Terminated,Dose limiting toxicity at the lowest planned dose level.,NCT00779311
mitomycin c,Terminated,lack of activity and G3-4 toxicity at interim analysis,NCT00967291
mitoxantrone,Terminated,Study was closed early due to toxicity,NCT00901927
mitoxantrone,Terminated,Toxicity,NCT01483690
mln3126,Terminated,Long-term animal toxicology findings (see detailed description).,NCT02209506
mln3126 matched placebo,Terminated,Long-term animal toxicology findings (see detailed description).,NCT02209506
motesanib diphosphate,Terminated,Study was stopped for severe toxicity causing concern for patients,NCT00574951
moxifloxacin 400mg,Withdrawn,"Study was terminated due to toxicology findings after screening started but before first subject first dose.",NCT01721135
moxifloxacin placebo,Withdrawn,"Study was terminated due to toxicology findings after screening started but before first subject first dose.",NCT01721135
naproxen-n-butyl nitrate,Terminated,Extreme toxicity,NCT00383487
nelfinavir,Terminated,"Toxicities, lack of funding",NCT01086332
neratinib,Terminated,toxicity,NCT02593708
neupogen,Terminated,Enrollment held for toxicity evaluation; then closed due to competing trial,NCT02489500
nilotinib,Terminated,The study was terminated due to excessive toxicity and low compliance to the protocol scheme.,NCT00905398
nivolumab,Terminated,Enrollment was stopped after the dose-limiting toxicity (DLT) evaluation phase of Cohort 2.,NCT03026166
nivolumab,Terminated,Unexpected toxicity,NCT03381118
obinutuzumab,Terminated,"Study terminated due to change in benefit-risk ratio, driven by high incidence GI toxicity in absence of clinically significant anti-tumor efficacy.",NCT03539484
osi-906,Terminated,"PI closed study early, all patients experienced severe toxicities and progressed",NCT01205685
oxaliplatin,Terminated,Terminated due to poor enrollment and grade 3 toxicities noted during an interim analysis.,NCT00642746
oxaliplatin,Terminated,"The study used a two-stage design. After stage one, the study was terminated due to excess toxicity.",NCT00551759
oxaliplatin,Terminated,Toxicity and lack of efficacy,NCT00541112
oxaliplatin,Terminated,Unafavourable toxicity profile,NCT02720926
paclitaxel,Terminated,drug toxicity,NCT00679029
paclitaxel,Terminated,"Due to low enrollment, no participant had a dose limiting toxicity, therefore a maximum tolerated dose could not be established",NCT00603941
paclitaxel,Terminated,Slow accrual and high levels of toxicity lead to early termination.,NCT01732640
paclitaxel,Terminated,toxicity,NCT02593708
paclitaxel/doxorubicin/cyclophosphamide,Terminated,Toxicity,NCT01329627
panitumumab,Terminated,"1. Very low enrollment rate.    2. Recent studies question the effect of adding panitumumab in this category of patients.   3. Too high toxicity rate",NCT01038037
panobinostat,Terminated,Dose Limiting Toxicity,NCT00873002
parathyroid hormone (teriparatide),Terminated,Study stopped because of toxicity concerns.,NCT00393380
pegaspargase,Terminated,Toxicity,NCT01483690
pembrolizumab,Withdrawn,"One of the study drugs will no longer be supplied by manufacturer and the pembrolizumab + abemaciclib study arm is removed due to toxicity seen in other trials.",NCT04220892
pemetrexed,Terminated,Terminated due to bevacizumab and chemoradiotherapy toxicity,NCT00402883
pemetrexed,Withdrawn,"One of the study drugs will no longer be supplied by manufacturer and the pembrolizumab + abemaciclib study arm is removed due to toxicity seen in other trials.",NCT04220892
pertuzumab,Terminated,Extreme toxicity of Pertuzumab and Erlotinib combination,NCT00947167
pertuzumab,Terminated,Extreme toxicity of Pertuzumab and Erlotinib combination,NCT01108458
pertuzumab,Terminated,toxicity,NCT02593708
pf-04455242,Terminated,"This study was terminated on January 6, 2010, due to toxicology findings in animals exposed to PF-04455242 for three months.",NCT00939887
pimasertib,Terminated,"The trial was stopped due to the toxicities observed with the combination of pimasertib and temsirolimus.",NCT01378377
pioglitazone,Terminated,Animal Toxicity Findings,NCT00722917
placebo,Terminated,"There was an unexpected toxicology finding observed in the 39 week monkey study. Dosing was suspended, the study was put on hold and eventually terminated.",NCT02240355
pomalidomide,Terminated,Unexpected toxicity (2 early deaths),NCT01537861
pomalidomide (cc-4047,Withdrawn,"The FDA did not accept the sponsor's additional animal toxicology data to support the proposed dosing in this protocol.",NCT01135199
ponatinib,Terminated,FDA hold and toxicity associated with study drug,NCT01761747
poziotinib,Terminated,Dose limiting toxicity,NCT03429101
pr610,Terminated,Study was prematurely discontinued due to unacceptable toxicity.,NCT01631279
prednisolone,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
prednisone,Terminated,Dose limiting toxicities on lowest dose level,NCT01717898
"prednisone, dexamethasone, vincristine, daunorubicin, peg-l-asparaginase",Terminated,Toxicity,NCT00187005
ptk787,Terminated,Low patient enrollment; toxicities,NCT00216047
ptk787/zk222584,Terminated,unacceptable toxicity,NCT00263198
pxd101,Terminated,Terminated due to dose limiting toxicity,NCT00431340
rad001,Terminated,Number of known toxicities observed despite a treatment-naïve population,NCT00807755
rad001,Terminated,The toxicity seemed to outweigh the benefit.,NCT00978432
rad001,Terminated,Toxicity,NCT01009346
rad001,Terminated,Toxicity and Lack of Efficacy,NCT00253318
rad001 in combination with sorafenib,Suspended,toxicity (protocol amendment under approval),NCT01226056
rituximab,Terminated,Study was closed early due to toxicity,NCT00901927
rituximab,Terminated,Toxicity,NCT00142168
ro6885247,Terminated,"There was an unexpected toxicology finding observed in the 39 week monkey study. Dosing was suspended, the study was put on hold and eventually terminated.",NCT02240355
ro7172508,Terminated,"Study terminated due to change in benefit-risk ratio, driven by high incidence GI toxicity in absence of clinically significant anti-tumor efficacy.",NCT03539484
rosiglitazone maleate,Withdrawn,Withdrawn due to drug toxicity,NCT00084578
rovalpituzumab tesirine,Terminated,Enrollment was stopped after the dose-limiting toxicity (DLT) evaluation phase of Cohort 2.,NCT03026166
sgi-1776,Terminated,"The dose limiting toxicity of cardiac QTc prolongation was identifiedin the phase 1 study in patients with refractory prostate and lymphoma",NCT00848601
sgi-1776,Withdrawn,"The dose limiting toxicity of cardiac QTc prolongation was identified and demonstrated unsafe to continue clinical development of this molecule.",NCT01239108
sorafenib,Terminated,Dose limiting toxicity at the lowest planned dose level.,NCT00779311
sorafenib,Terminated,Significant Toxicities Experienced,NCT00632541
sorafenib tosylate,Terminated,Dose Limiting Toxicity,NCT00873002
sorafenib tosylate,Terminated,"Due to study design (and toxicity), this trial closed to accrual prior to opening the phase II portion.",NCT00687674
sorafenib tosylate,Terminated,Extreme toxicity,NCT00726986
su011248,Terminated,Too frequent grade 3-4 toxicities,NCT00408252
sugar pill,Terminated,European reports of liver toxicity from kava meant that the study had to stop,NCT00083980
sunitinib,Terminated,Dose Limiting Toxicities,NCT00734851
sunitinib,Terminated,toxicities required dose reduction compromising effectiveness and PI left Moffitt,NCT00496223
sunitinib,Withdrawn,Toxicity of combination from other trials,NCT00556205
sunitinib malate,Terminated,Closed prematurely due to emerging data on toxicity and competing trials.,NCT00824538
sunitinib malate,Terminated,Closed prematurely due to toxicity,NCT00520533
sunitinib malate,Terminated,Patient Toxicities,NCT00859339
tak-379,Terminated,Animal Toxicity Findings,NCT00722917
tak-418,Terminated,Business Decision; no human safety concern; evaluating preclinical toxicology finding,NCT03501069
tak-418 matching placebo,Terminated,Business Decision; no human safety concern; evaluating preclinical toxicology finding,NCT03501069
talotrexin,Withdrawn,Study withdrawn because of toxicity reported on the adult phase 1 trial.,NCT00458744
t-dm1,Terminated,Dose limiting toxicity,NCT03429101
temodar,Terminated,Study ended early due to toxicity,NCT01186406
temozolomide,Terminated,Unanticipated Toxicities,NCT01110876
temsirolimus,Terminated,"The trial was stopped due to the toxicities observed with the combination of pimasertib and temsirolimus.",NCT01378377
thalidomide,Terminated,Unexpected toxicity (2 early deaths),NCT01537861
thioguanine,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
thymoglobulin,Terminated,toxicities were worse than expected,NCT00593645
tipifarnib,Terminated,"Withdrawn due to ""toxicity"" problems",NCT00124644
tki258,Terminated,Unafavourable toxicity profile,NCT02720926
tocilizumab,Terminated,"Study terminated due to change in benefit-risk ratio, driven by high incidence GI toxicity in absence of clinically significant anti-tumor efficacy.",NCT03539484
topical abi-1968 cream,Terminated,Pre-Clinical Toxicology Findings,NCT03677960
trastuzumab,Terminated,Closed early due to increased hematologic toxicity and possible reduced efficacy,NCT01388647
trastuzumab,Terminated,Low patient enrollment; toxicities,NCT00216047
trastuzumab,Terminated,toxicity,NCT02593708
trastuzumab emtansine,Terminated,Terminated due to low accrual and toxicity concerns.,NCT02658084
umbralisib,Suspended,Unacceptable Toxicity,NCT03776864
vemurafenib,Terminated,More than 2 of 6 patients treated experienced dose limiting toxicities.,NCT01400451
vemurafenib,Terminated,Slow accrual; toxicity; change in priorities,NCT01495988
venlafaxine er,Terminated,European reports of liver toxicity from kava meant that the study had to stop,NCT00083980
vincristine,Terminated,Toxicity,NCT01483690
vincristine sulfate,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
vinorelbine,Terminated,"1. Very low enrollment rate.    2. Recent studies question the effect of adding panitumumab in this category of patients.  3. Too high toxicity rate",NCT01038037
vinorelbine,Terminated,Terminated due to low accrual and toxicity concerns.,NCT02658084
vinorelbine,Terminated,Treatment toxicity,NCT02585388
vorinostat,Terminated,"Met protocol stop rule [i.e., extreme toxicity]",NCT00818649
vorinostat,Terminated,Terminated due to unacceptable toxicity,NCT00910000
vorinostat,Terminated,toxicities,NCT00976183
vorinostat,Terminated,Toxicity,NCT01483690
vorinostat,Terminated,Unanticipated Toxicities,NCT01110876
vorinostat (suberoylanilide hydroxamic acid),Terminated,closed due to toxicity,NCT00565227
"xeloda,",Terminated,Unafavourable toxicity profile,NCT02720926
xl999,Terminated,Development of XL999 was stopped due to cardiac toxicities in the subjects,NCT00277316
xl999,Terminated,Study was terminated due to cardiac toxicities,NCT00322673
xl999,Terminated,Study was terminated due to cardiac toxicities in the subejcts,NCT00277329
xl999,Terminated,Study was terminated due to cardiac toxicities in the subjects,NCT00277290
