"",molecularweight,xlogp,hydrogenbonddonorcount,hydrogenbondacceptorcount,polarsurfacearea,formalcharge,numrings,rotatablebondcount,refractivity,logpsolubility,ro5,ghose,veber,blood,skin,brain,testis,adipose tissue,muscle,nerve,blood vessel,heart,lung,esophagus,kidney,thyroid,uterus,pancreas,vagina,stomach,adrenal gland,colon,prostate,spleen,liver,ovary,breast,bladder,small intestine,salivary gland,lossfreq,maxbtwn,maxdegree,ntargets,wqed,result
14,Docetaxel,807.346605409,2.916790955,5,10,224.45,0,6,13,203.9017,0.0127,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.732,0.0,0.0,0.0,3.107,0.0,0.6918918918918922,243334.273788185,1034,5,0.853,failed
16,Buprenorphine,467.303558805,3.5498807580676903,2,5,62.16,0,7,5,131.7623,0.0168,0,1,1,4.46,0.0,4.6110000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671052631578947,11098.772774318999,40,3,0.33299999999999996,passed
17,Lapatinib,580.1347319419999,4.63850879833333,2,7,106.35,0,5,11,152.4172,0.0223,1,1,1,3.1060000000000003,3.42,4.302,0.0,0.0,3.085,0.0,0.0,3.136,3.3760000000000003,3.003,3.252,0.0,3.194,0.0,0.0,0.0,0.0,3.4610000000000003,3.305,0.0,4.72,3.266,3.34,3.014,0.0,0.0,0.492537313432836,1872057.68607053,756,2,0.7959999999999999,failed
18,Lorazepam,320.011932988,3.5273254880000002,2,3,61.69,0,3,1,82.6992,0.0176,0,0,1,0.0,0.0,4.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52991452991453,22304.0,28,17,0.151,passed
19,Capecitabine,359.14926365599996,0.768036046999999,3,6,120.69,0,2,7,82.74600000000001,0.248,0,0,1,0.0,4.445,3.32,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.199,0.0,0.0,3.049,0.0,0.0,0.0,0.0,0.0,0.536585365853659,0.0,2,1,0.371,failed
20,Everolimus,957.581356369,7.4038643143333305,3,13,204.66,0,4,9,261.7067,0.0016300000000000002,1,1,1,3.847,3.824,4.9060000000000015,3.555,3.0810000000000004,3.449,0.0,0.0,3.242,0.0,0.0,3.338,0.0,3.119,0.0,0.0,0.0,0.0,3.143,3.03,0.0,4.6960000000000015,3.756,0.0,0.0,0.0,0.0,0.27625570776255703,145928.601178963,166,1,0.8420000000000001,failed
21,Fludarabine,365.05366251199996,-3.61655094146339,5,10,186.07,0,3,4,74.9321,2.97,0,1,1,3.462,3.161,4.852,4.49,0.0,0.0,0.0,0.0,0.0,3.567,0.0,4.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0810000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666671,33604.7596337867,578,3,0.7140000000000001,failed
22,Calcitriol,416.329045274,4.35074099666667,3,3,60.69,0,3,6,126.5325,0.006670000000000001,0,1,1,4.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.051,3.767,0.0,0.0,0.0,0.0,0.0,0.0,4.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451327433628319,44680.978230035595,150,1,0.465,failed
23,Dexamethasone,392.19990224300005,1.68156967966667,3,5,94.83,0,4,2,102.4929,0.0505,0,0,1,0.0,0.0,3.005,0.0,0.0,0.0,0.0,0.0,3.027,4.441,0.0,4.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.521,0.0,0.0,0.0,0.0,0.0,0.509090909090909,256392.74781158,268,4,0.332,failed
24,Everolimus,957.581356369,7.4038643143333305,3,13,204.66,0,4,9,261.7067,0.0016300000000000002,1,1,1,3.847,3.824,4.9060000000000015,3.555,3.0810000000000004,3.449,0.0,0.0,3.242,0.0,0.0,3.338,0.0,3.119,0.0,0.0,0.0,0.0,3.143,3.03,0.0,4.6960000000000015,3.756,0.0,0.0,0.0,0.0,0.27625570776255703,145928.601178963,166,1,0.8420000000000001,failed
25,Cyclosporine,1201.841368071,6.916573835333331,5,16,292.76,0,1,15,329.2285,0.00581,1,1,1,4.854,4.868,4.994,4.744,3.3960000000000004,3.955,0.0,0.0,3.971,4.899,0.0,4.598,0.0,3.616,4.807,0.0,4.337,0.0,3.153,4.7330000000000005,3.42,4.964,4.215,0.0,0.0,3.011,0.0,0.469387755102041,28805.0464817334,78,3,0.858,failed
26,Methylprednisolone,374.20932407,1.56000902066667,3,5,94.83,0,4,2,103.0419,0.109,0,0,1,3.254,0.0,4.4910000000000005,0.0,3.125,3.194,0.0,0.0,0.0,3.132,0.0,4.629,0.0,4.564,0.0,0.0,0.0,3.417,0.0,0.0,0.0,4.657,0.0,0.0,0.0,0.0,0.0,0.350282485875706,256392.74781158,268,1,0.312,failed
27,Cyclosporine,1201.841368071,6.916573835333331,5,16,292.76,0,1,15,329.2285,0.00581,1,1,1,4.854,4.868,4.994,4.744,3.3960000000000004,3.955,0.0,0.0,3.971,4.899,0.0,4.598,0.0,3.616,4.807,0.0,4.337,0.0,3.153,4.7330000000000005,3.42,4.964,4.215,0.0,0.0,3.011,0.0,0.469387755102041,28805.0464817334,78,3,0.858,failed
28,Dexmedetomidine,200.131348522,3.39031483866667,1,1,28.68,0,2,2,62.9831,0.174,0,0,0,4.44,0.0,0.0,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516666666666667,2815.5179925905604,20,1,0.209,passed
29,Topotecan,421.163770861,-0.3570950772210229,2,6,103.2,0,5,3,115.0161,0.861,0,0,1,4.582,0.0,4.337,0.0,0.0,0.0,0.0,0.0,0.0,3.123,0.0,3.177,0.0,3.018,0.0,0.0,0.0,0.0,3.201,0.0,0.0,4.627,3.06,0.0,0.0,0.0,0.0,0.650375939849624,102739.57793104,492,2,0.578,passed
30,Sildenafil,474.20492416800005,1.6464821276953199,1,8,109.13,0,4,6,139.4405,0.433,0,1,1,3.1860000000000004,0.0,4.542,0.0,0.0,4.635,0.0,0.0,3.109,4.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6160000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.794871794871795,47650.24204292901,30,3,0.546,passed
31,Vorinostat,264.14739251599997,2.00396924933333,3,3,78.43,0,1,8,73.8051,0.0716,0,0,1,0.0,3.272,4.813,4.782,0.0,3.447,0.0,0.0,3.408,3.4160000000000004,0.0,3.388,3.097,3.404,3.182,0.0,3.01,3.139,3.373,3.367,3.185,4.6080000000000005,3.21,4.625,3.104,0.0,0.0,0.5714285714285711,1493585.62202262,1954,5,0.619,failed
32,Pioglitazone,356.119463206,3.32824869988626,1,4,68.29,0,3,7,97.3908,0.00442,0,0,1,3.089,0.0,3.048,0.0,4.824,3.381,0.0,0.0,4.666,0.0,0.0,3.239,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,3.4930000000000003,0.0,0.0,0.0,0.0,0.0,0.44761904761904797,75952.2562377524,146,1,0.172,failed
33,Sunitinib,398.21180433300003,2.92737681366667,3,3,77.23,0,3,7,116.2663,0.0308,0,0,1,3.199,0.0,3.491,0.0,0.0,3.137,0.0,3.383,3.748,3.043,0.0,3.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.178,0.0,0.0,0.0,0.0,0.0,0.35635359116022103,132430.983422033,186,8,0.373,failed
34,Prednisolone,360.193674006,1.27298992433333,3,5,94.83,0,4,2,98.4933,0.239,0,0,1,3.254,0.0,4.4910000000000005,0.0,3.125,3.194,0.0,0.0,0.0,3.132,0.0,4.629,0.0,4.564,0.0,0.0,0.0,3.417,0.0,0.0,0.0,4.657,0.0,0.0,0.0,0.0,0.0,0.350282485875706,256392.74781158,268,1,0.304,failed
35,Gabapentin,171.12592879299999,-1.2730330706628001,2,3,63.32,0,1,3,46.3283,4.34,0,1,1,0.0,0.0,4.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.296,0.0,0.0,0.0,0.0,0.0,0.435483870967742,7460.15069008384,32,4,0.478,passed
36,Lenalidomide,259.09569129700003,-0.7078521590000001,2,4,92.5,0,3,1,68.2981,2.33,0,1,1,4.776,0.0,3.1630000000000003,0.0,0.0,0.0,0.0,4.573,4.582,4.601,0.0,0.0,0.0,3.0210000000000004,0.0,0.0,0.0,0.0,3.3,0.0,0.0,3.123,0.0,0.0,3.044,0.0,0.0,0.47058823529411803,51384.354756162305,48,3,0.542,failed
37,Ropivacaine,274.204513464,4.07095021933333,1,2,32.34,0,2,4,85.5923,0.253,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544354838709677,311.923861315267,4,1,0.085,passed
38,Alprazolam,308.08287414299997,2.3741,0,3,43.07,0,4,1,98.87899999999999,0.0324,0,0,1,0.0,0.0,4.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52991452991453,8267.84453297287,28,16,0.308,passed
39,Pentoxifylline,278.13789046200003,0.23220584566666602,0,4,75.51,0,2,5,73.5223,5.17,0,0,1,0.0,0.0,4.8039999999999985,3.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.049,0.0,0.0,0.0,0.0,0.0,0.506666666666667,2345.31828400441,22,6,0.381,passed
40,Clofarabine,303.053445155,-0.291321752333333,3,7,119.31,0,3,2,67.0021,4.89,0,0,1,3.462,3.161,4.852,4.49,0.0,0.0,0.0,0.0,0.0,3.567,0.0,4.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0810000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666671,33604.7596337867,578,2,0.317,failed
41,Didanosine,236.09094027,-0.3516364083333339,2,6,88.74,0,3,2,58.5938,6.58,0,0,1,4.715,0.0,3.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.584,4.341,0.0,0.0,0.0,0.0,0.47766439909297104,1850.1426887229397,18,1,0.40700000000000003,failed
42,Pentostatin,268.11715502,-2.016391028,4,7,112.13,0,3,2,64.9814,10.7,0,1,1,4.069,0.0,4.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.239,0.0,0.5053763440860221,1275.00209702589,14,1,0.511,passed
43,Galantamine,287.15214354299997,1.1630428036666698,1,4,41.93,0,4,1,82.3049,1.7,0,0,1,4.54,0.0,4.927,0.0,0.0,3.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157889,51784.0228675716,20,18,0.207,passed
44,Rivastigmine,250.16812795799999,2.40909313433333,0,2,32.78,0,1,5,73.3706,2.04,0,0,0,4.54,0.0,4.927,0.0,0.0,3.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565445026178011,51784.0228675716,20,2,0.196,passed
45,Domperidone,425.16185274400004,2.9001030930000002,2,3,67.92,0,5,5,119.3737,0.0925,0,0,1,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,4.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394230769230769,39011.4658066726,40,2,0.5479999999999999,passed
46,Sorafenib,464.08630272,4.34332976066667,3,3,92.35,0,3,6,114.5183,0.0017100000000000001,0,0,1,0.0,0.0,4.937,4.909,0.0,3.1830000000000003,0.0,0.0,3.222,4.655,0.0,3.132,0.0,4.772,4.644,0.0,0.0,0.0,4.504,0.0,0.0,4.529,3.711,0.0,3.031,0.0,0.0,0.5285714285714289,251309.154502521,246,10,0.48700000000000004,failed
48,Varenicline,211.11094743099997,1.0076279959999999,1,3,37.81,0,4,0,61.303000000000004,0.0877,0,0,0,0.0,4.305,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5344827586206901,24492.452656767597,12,4,0.285,passed
49,Minocycline,457.184900233,-3.33419158928249,5,9,164.63,0,4,3,122.5402,3.07,0,1,1,3.475,3.444,4.421,0.0,3.462,4.082,0.0,3.755,4.847,4.729,0.0,4.765,3.645,3.658,3.527,0.0,3.343,3.1910000000000003,3.388,3.707,3.544,3.967,3.216,4.685,3.487,3.1910000000000003,0.0,0.48936170212766,348521.379183772,624,6,0.608,passed
50,Indomethacin,357.07678571199995,3.52967437966667,1,4,68.53,0,3,4,94.8106,0.0024,0,0,1,3.169,0.0,4.673,0.0,3.465,3.505,0.0,0.0,3.44,0.0,0.0,3.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.759,0.0,0.0,0.0,0.0,0.0,0.55,75952.2562377524,146,6,0.40700000000000003,passed
51,Gemcitabine,263.071762265,-1.466539628,3,6,108.38,0,2,2,53.2503,22.3,0,1,1,3.462,3.161,4.852,4.49,0.0,0.0,0.0,0.0,0.0,3.567,0.0,4.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0810000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536585365853659,17112.1809134262,578,3,0.3,failed
52,Capecitabine,359.14926365599996,0.768036046999999,3,6,120.69,0,2,7,82.74600000000001,0.248,0,0,1,0.0,4.445,3.32,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.199,0.0,0.0,3.049,0.0,0.0,0.0,0.0,0.0,0.536585365853659,0.0,2,1,0.371,failed
53,Vorinostat,264.14739251599997,2.00396924933333,3,3,78.43,0,1,8,73.8051,0.0716,0,0,1,0.0,3.272,4.813,4.782,0.0,3.447,0.0,0.0,3.408,3.4160000000000004,0.0,3.388,3.097,3.404,3.182,0.0,3.01,3.139,3.373,3.367,3.185,4.6080000000000005,3.21,4.625,3.104,0.0,0.0,0.5714285714285711,1493585.62202262,1954,5,0.619,failed
54,Nilotinib,529.183792976,4.4077,2,6,97.62,0,5,7,152.8501,0.00201,1,1,1,3.1710000000000003,3.429,4.838,0.0,0.0,0.0,0.0,0.0,0.0,4.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.513,0.0,0.0,0.0,0.0,0.0,0.40406976744186,1016222.46994646,518,2,0.6779999999999999,failed
55,Warfarin,308.104859,2.74470736233333,1,3,63.6,0,3,4,86.8601,0.0472,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.732,0.0,0.0,0.0,3.107,0.0,0.509803921568627,0.0,0,1,0.41100000000000003,failed
56,Tramadol,263.188529049,2.44986149933333,1,3,32.7,0,2,4,78.2692,0.75,0,0,0,0.0,0.0,4.75,0.0,0.0,0.0,3.1260000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671052631578947,23664.9424901665,40,9,0.094,passed
59,Lenalidomide,259.09569129700003,-0.7078521590000001,2,4,92.5,0,3,1,68.2981,2.33,0,1,1,4.776,0.0,3.1630000000000003,0.0,0.0,0.0,0.0,4.573,4.582,4.601,0.0,0.0,0.0,3.0210000000000004,0.0,0.0,0.0,0.0,3.3,0.0,0.0,3.123,0.0,0.0,3.044,0.0,0.0,0.47058823529411803,51384.354756162305,48,3,0.542,failed
60,Temsirolimus,1029.602485741,7.129959347000001,4,14,241.96,0,4,11,277.0665,0.00235,1,1,1,3.847,3.824,4.9060000000000015,3.555,3.0810000000000004,3.449,0.0,0.0,3.242,0.0,0.0,3.338,0.0,3.119,0.0,0.0,0.0,0.0,3.143,3.03,0.0,4.6960000000000015,3.756,0.0,0.0,0.0,0.0,0.27625570776255703,145928.601178963,166,1,0.872,failed
61,Dronedarone,556.297093218,5.27791588213947,1,5,88.85,0,3,17,158.1284,0.00201,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55625,48947.9770023894,104,18,0.8809999999999999,passed
62,Paclitaxel,853.330955345,3.53884002,4,10,221.29,0,7,14,218.2945,0.00556,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.732,0.0,0.0,0.0,3.107,0.0,0.6918918918918922,243334.273788185,1034,6,0.863,failed
63,Atorvastatin,557.2451754130001,5.387146767000001,3,5,114.62,-1,4,12,169.0355,0.000495,1,1,1,4.548,0.0,4.976,4.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.674,0.0,0.0,0.0,0.0,0.0,0.37209302325581395,5260.66256711201,68,2,0.7609999999999999,passed
64,Ethanol,46.04186481399999,-0.161769114,1,1,20.23,0,0,0,13.0099,579.0,0,1,0,0.0,4.305,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,8267.84453297287,28,7,0.607,passed
65,Levosimendan,280.10725903599996,2.16161815933333,2,6,113.43,0,2,3,77.6308,0.0881,0,0,1,4.496,0.0,0.0,0.0,0.0,4.582,0.0,0.0,4.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.356,0.0,0.0,0.0,0.0,0.0,0.6,460.956842911593,12,4,0.35,passed
66,Sitaxentan,454.006005309,3.091685922,1,6,107.73,0,4,5,105.8045,0.0181,0,0,1,0.0,4.612,4.812,0.0,0.0,3.076,0.0,0.0,3.256,4.564,0.0,3.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45161290322580605,35386.697759825,44,2,0.40700000000000003,failed
67,Metformin,129.101445377,-0.918429265,4,5,88.99,0,0,0,56.6427,1.38,0,1,1,0.0,0.0,3.245,0.0,0.0,3.0010000000000003,0.0,0.0,3.167,4.178,0.0,0.0,0.0,4.2010000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.585,0.0,0.0,0.0,4.317,0.0,0.4782608695652171,45478.773810528495,54,1,0.772,passed
68,Sirolimus,913.555141619,7.45083982266667,3,12,195.43,0,4,6,250.6632,0.00173,1,1,1,3.847,3.824,4.9060000000000015,3.555,3.0810000000000004,3.449,0.0,0.0,3.242,0.0,0.0,3.338,0.0,3.119,0.0,0.0,0.0,0.0,3.143,3.03,0.0,4.6960000000000015,3.756,0.0,0.0,0.0,0.0,0.555555555555556,145928.601178963,166,3,0.813,passed
69,Sitaxentan,454.006005309,3.091685922,1,6,107.73,0,4,5,105.8045,0.0181,0,0,1,0.0,4.612,4.812,0.0,0.0,3.076,0.0,0.0,3.256,4.564,0.0,3.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45161290322580605,35386.697759825,44,2,0.40700000000000003,failed
70,Anastrozole,293.164045633,3.028454822,0,4,78.29,0,2,4,97.4729,0.0661,0,0,1,0.0,0.0,0.0,3.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.684,0.0,0.0,0.0,0.0,0.5505617977528089,0.0,66,1,0.134,failed
71,Doxorubicin,543.174060775,0.916421641538582,6,12,206.07,0,5,5,134.5937,1.18,1,1,1,0.0,0.0,3.665,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.966,3.286,0.0,0.0,0.0,0.0,0.386986301369863,13574.609164536201,80,1,0.802,passed
72,Lidocaine,234.17321333599998,2.84291335966667,1,2,32.34,0,1,5,73.9296,0.593,0,0,0,3.1060000000000003,3.42,4.302,0.0,0.0,3.085,0.0,0.0,3.136,3.3760000000000003,3.003,3.252,0.0,3.194,0.0,0.0,0.0,0.0,3.4610000000000003,3.305,0.0,4.72,3.266,3.34,3.014,0.0,0.0,0.544354838709677,1872057.68607053,756,4,0.158,failed
73,Lovastatin,404.256274262,3.90218691433333,1,3,72.83,0,3,7,113.1824,0.0243,0,0,1,4.548,0.0,4.976,4.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.674,0.0,0.0,0.0,0.0,0.0,0.36734693877551006,814810.1665859079,1730,3,0.35100000000000003,passed
74,Lumiracoxib,293.061884577,4.31108788266667,2,3,49.33,0,2,4,75.9142,0.00549,0,0,1,4.655,3.0780000000000003,4.667,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411803,8170.88863179302,30,2,0.132,passed
75,Dasatinib,487.15572150800006,3.82093830943893,3,8,106.51,0,4,7,133.0762,0.0128,0,1,1,3.1710000000000003,3.429,4.838,0.0,0.0,0.0,0.0,0.0,0.0,4.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.513,0.0,0.0,0.0,0.0,0.0,0.526462395543176,1917483.80520523,804,10,0.532,failed
76,Sitagliptin,407.11807935699994,1.2572162756666698,1,4,77.04,0,3,5,87.4946,0.034,0,0,1,4.6389999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791,0.0,4.383,3.42,0.0,0.0,0.0,4.56,4.572,0.0,4.668,0.0,0.0,0.0,3.435,0.0,0.47766439909297104,11668.312373566001,32,1,0.594,passed
